iter	Passed	Remaining
147	904	5207
148	929	5308
149	933	5287
150	935	5260
151	938	5233
152	946	5237
153	949	5213
154	950	5179
155	951	5147
156	953	5120
157	959	5114
158	962	5091
159	964	5065
160	967	5040
161	968	5009
162	969	4978
163	970	4948
164	972	4920
165	973	4890
166	974	4860
167	976	4834
168	977	4806
169	991	4838
170	992	4812
171	994	4785
172	1005	4808
173	1008	4787
174	1010	4764
175	1024	4798
176	1034	4809
177	1037	4791
178	1038	4764
179	1040	4737
180	1041	4711
181	1042	4685
182	1049	4684
183	1052	4668
184	1055	4651
185	1057	4629
186	1064	4628
187	1068	4615
188	1072	4600
189	1074	4579
190	1080	4578
191	1083	4560
192	1086	4542
193	1087	4519
194	1089	4496
195	1097	4503
196	1099	4483
197	1101	4462
198	1102	4438
199	1104	4416
200	1112	4421
201	1114	4401
202	1116	4382
203	1117	4361
204	1119	4339
205	1120	4317
206	1126	4316
207	1130	4303
208	1131	4282
209	1132	4260
210	1133	4239
211	1134	4218
212	1141	4219
213	1144	4202
214	1146	4184
215	1150	4176
216	1151	4156
217	1154	4140
218	1156	4124
219	1157	4105
220	1159	4087
221	1160	4067
222	1161	4047
223	1165	4037
224	1170	4032
225	1172	4016
226	1173	3997
227	1174	3978
228	1175	3958
229	1176	3939
230	1185	3946
231	1186	3928
232	1190	3918
233	1193	3905
234	1201	3910
235	1203	3894
236	1204	3878
237	1208	3870
238	1219	3883
239	1223	3873
240	1224	3855
241	1231	3856
242	1232	3838
243	1233	3823
244	1235	3805
245	1235	3788
246	1236	3770
247	1237	3753
248	1239	3738
249	1240	3720
250	1246	3720
251	1248	3705
252	1249	3690
253	1251	3676
254	1253	3660
255	1253	3644
256	1254	3627
257	1262	3632
258	1265	3620
259	1267	3608
260	1269	3594
261	1270	3579
262	1281	3592
263	1284	3579
264	1285	3564
265	1287	3552
266	1289	3539
267	1290	3525
268	1295	3519
269	1297	3508
270	1305	3511
271	1307	3498
272	1309	3486
273	1310	3472
274	1311	3457
275	1312	3442
276	1313	3427
277	1314	3412
278	1318	3408
279	1320	3396
280	1322	3384
281	1324	3371
282	1325	3357
283	1326	3343
284	1327	3329
285	1328	3315
286	1329	3302
287	1332	3293
288	1334	3282
289	1335	3269
290	1336	3256
291	1338	3244
292	1339	3232
293	1349	3241
294	1353	3233
295	1354	3221
296	1363	3227
297	1365	3217
298	1368	3209
299	1370	3196
300	1371	3184
301	1373	3174
302	1376	3165
303	1378	3155
304	1387	3160
305	1390	3154
306	1392	3142
307	1393	3131
308	1395	3120
309	1399	3114
310	1401	3104
311	1402	3093
312	1404	3081
313	1405	3069
314	1411	3069
315	1412	3057
316	1414	3047
317	1415	3035
318	1416	3023
319	1417	3011
320	1418	2999
321	1419	2988
322	1420	2976
323	1428	2981
324	1430	2970
325	1431	2959
326	1434	2951
327	1448	2967
328	1449	2956
329	1451	2946
330	1452	2935
331	1459	2935
332	1461	2927
333	1466	2923
334	1467	2912
335	1468	2901
336	1474	2900
337	1475	2889
338	1476	2878
339	1478	2869
340	1479	2858
341	1480	2848
342	1481	2837
343	1482	2827
344	1483	2816
345	1490	2816
346	1492	2808
347	1494	2800
348	1497	2792
349	1498	2783
350	1499	2772
351	1502	2766
352	1504	2756
353	1505	2746
354	1506	2736
355	1507	2727
356	1508	2717
357	1515	2717
358	1517	2708
359	1520	2703
360	1521	2693
361	1523	2684
362	1524	2674
363	1535	2683
364	1538	2675
365	1539	2666
366	1540	2657
367	1545	2653
368	1546	2644
369	1547	2634
370	1548	2625
371	1549	2615
372	1555	2614
373	1556	2605
374	1558	2597
375	1560	2589
376	1562	2582
377	1564	2574
378	1572	2576
379	1575	2570
380	1577	2562
381	1580	2556
382	1592	2564
383	1593	2556
384	1594	2547
385	1595	2538
386	1604	2540
387	1607	2535
388	1609	2527
389	1611	2520
390	1620	2523
391	1622	2516
392	1623	2507
393	1626	2501
394	1627	2493
395	1633	2491
396	1634	2482
397	1636	2474
398	1637	2466
399	1639	2458
400	1641	2451
401	1642	2443
402	1643	2434
403	1649	2433
404	1650	2424
405	1654	2420
406	1656	2413
407	1658	2405
408	1664	2404
409	1665	2397
410	1666	2388
411	1669	2382
412	1670	2373
413	1671	2366
414	1684	2374
415	1685	2366
416	1686	2358
417	1688	2350
418	1689	2342
419	1699	2346
